%% LaTeX2e file `EvalAbgelehntePP.dat'
%% generated by the `filecontents' environment
%% from source `dynamic-barchart-discard-column-fm-table[4star]' on 2020/09/27.
%%
 Wert PP  HaeufigkeitAbs  HaeufigkeitRel
 1    4        682        61.49684400360685
 2    5        630        56.80793507664562
 3    7        457        41.2082957619477
 4    9        414        37.33092876465284
 5    1        403        36.339044183949504
 6    8        394        35.527502254283135
 7    6        360        32.46167718665464
 8    3        268        24.16591523895401
 9    2        254        22.90351668169522
 10  10        207        18.66546438232642
 11  {\rotatebox{90}{not rejected}}  226 20.378719567177637
